#: table_doi: 10.17182/hepdata.90835.v1/t81
#: name: T1bbbb efficiency
#: description: The efficiency times acceptance of the SMS models for T1bbbb as function of the gluino and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t1bbbb_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> BQ BQBAR NEUTRALINO1
#: Efficiency,
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
679.61,552.9,0.055511
679.61,564.77,0.05417
679.61,576.63,0.05283
679.61,588.5,0.052765
679.61,600.37,0.053152
679.61,612.24,0.054192
679.61,624.11,0.054299
679.61,635.98,0.054405
679.61,647.85,0.055272
679.61,659.72,0.0
679.61,671.58,0.0
679.61,683.45,0.0
679.61,695.32,0.0
679.61,707.19,0.0
679.61,719.06,0.0
679.61,730.93,0.0
679.61,742.8,0.0
679.61,754.67,0.0
679.61,766.53,0.0
679.61,778.4,0.0
679.61,790.27,0.0
679.61,802.14,0.0
679.61,814.01,0.0
679.61,825.88,0.0
679.61,837.75,0.0
679.61,849.62,0.0
679.61,861.48,0.0
679.61,873.35,0.0
679.61,885.22,0.0
679.61,897.09,0.0
679.61,908.96,0.0
679.61,920.83,0.0
679.61,932.7,0.0
679.61,944.57,0.0
679.61,956.43,0.0
679.61,968.3,0.0
679.61,980.17,0.0
679.61,992.04,0.0
679.61,1003.9,0.0
679.61,1015.8,0.0
679.61,1027.6,0.0
679.61,1039.5,0.0
679.61,1051.4,0.0
679.61,1063.3,0.0
679.61,1075.1,0.0
679.61,1087.0,0.0
679.61,1098.9,0.0
679.61,1110.7,0.0
679.61,1122.6,0.0
679.61,1134.5,0.0
679.61,1146.3,0.0
679.61,1158.2,0.0
679.61,1170.1,0.0
679.61,1181.9,0.0
679.61,1193.8,0.0
679.61,1205.7,0.0
679.61,1217.5,0.0
679.61,1229.4,0.0
679.61,1241.3,0.0
679.61,1253.2,0.0
679.61,1265.0,0.0
679.61,1276.9,0.0
679.61,1288.8,0.0
679.61,1300.6,0.0
679.61,1312.5,0.0
679.61,1324.4,0.0
679.61,1336.2,0.0
679.61,1348.1,0.0
679.61,1360.0,0.0
679.61,1371.8,0.0
679.61,1383.7,0.0
679.61,1395.6,0.0
679.61,1407.4,0.0
679.61,1419.3,0.0
679.61,1431.2,0.0
679.61,1443.1,0.0
679.61,1454.9,0.0
679.61,1466.8,0.0
679.61,1478.7,0.0
679.61,1490.5,0.0
679.61,1502.4,0.0
679.61,1514.3,0.0
679.61,1526.1,0.0
679.61,1538.0,0.0
679.61,1549.9,0.0
679.61,1561.7,0.0
679.61,1573.6,0.0
679.61,1585.5,0.0
679.61,1597.3,0.0
679.61,1609.2,0.0
679.61,1621.1,0.0
679.61,1633.0,0.0
679.61,1644.8,0.0
679.61,1656.7,0.0
679.61,1668.6,0.0
679.61,1680.4,0.0
679.61,1692.3,0.0
679.61,1704.2,0.0
679.61,1716.0,0.0
679.61,1727.9,0.0
679.61,1739.8,0.0
679.61,1751.6,0.0
679.61,1763.5,0.0
679.61,1775.4,0.0
679.61,1787.2,0.0
679.61,1799.1,0.0
679.61,1811.0,0.0
679.61,1822.9,0.0
679.61,1834.7,0.0
679.61,1846.6,0.0
679.61,1858.5,0.0
679.61,1870.3,0.0
679.61,1882.2,0.0
679.61,1894.1,0.0
694.08,6.9344,0.25448
694.08,18.803,0.25595
694.08,30.672,0.25742
694.08,42.541,0.25889
694.08,54.409,0.26036
694.08,66.278,0.26183
